保留示例行号,归并数量,归一模板,保留示例原文,建议处理
181,9,<称呼> 请查收附件发票，麻烦协助安排付款，谢谢。,Dear 吴小姐， 请查收附件发票，麻烦协助安排付款，谢谢。,可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
9,3,<称呼>烦请回复确认，我来对应安排,Dear 附件是翻译报价单RMB220.00 烦请回复确认，我来对应安排,可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
24,3,<称呼>烦请申请PO 如无问题，烦请回复确认，我来对应安排,Dear 附件是手册及视频翻译汉化报价单RMB29222.00，烦请申请PO 如无问题，烦请回复确认，我来对应安排,可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
101,3,<称呼> Please find the attached invoice for your reference and kindly assist with arranging the payment. Thanks.,Hi Jenny， Please find the attached invoice for your reference and kindly assist with arranging the payment. Thanks.,可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
55,2,Renaiss 您好 附件是视频汉化报价单RMB<金额>，烦请申请PO 如无问题，烦请回复确认，我来对应安排,Renaiss 您好 附件是视频汉化报价单RMB1650.00，烦请申请PO 如无问题，烦请回复确认，我来对应安排,可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
130,2,Emma 您好 附件是文件&视频翻译报价单RMB<金额> 烦请申请PO，谢谢！ 新系统我们供应商编号是：,Emma 您好 附件是文件&视频翻译报价单RMB15949.00 烦请申请PO，谢谢！ 新系统我们供应商编号是：,可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
215,2,<称呼>附件是同传翻译报价单RMB<金额>，烦请申请PO 如无问题，烦请回复确认，我来对应Book翻译的时间,Dear Jennie 附件是同传翻译报价单RMB23300.00，烦请申请PO 如无问题，烦请回复确认，我来对应Book翻译的时间,可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
216,2,"Andrea 您好 附件是翻译报价单RMB<金额>,烦请申请PO 如无问题，烦请回复确认，我来对应安排","Andrea 您好 附件是翻译报价单RMB557.00,烦请申请PO 如无问题，烦请回复确认，我来对应安排",可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
590,2,Emma 您好 附件是合计的翻译汉化报价单RMB<金额>，烦请申请PO 如无问题，烦请回复确认，我来对应安排,Emma 您好 附件是合计的翻译汉化报价单RMB9865.00，烦请申请PO 如无问题，烦请回复确认，我来对应安排,可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
660,2,"<称呼> 附件是具体报价单（RMB<金额>），请过目。如有任何问题，请随时联系。 Best Regards Alice Sales Department Shanghai Jia Sai Technology CO., LTD.(Speed Technology)","Dear Shuyan ， 附件是具体报价单（RMB70000），请过目。如有任何问题，请随时联系。 Best Regards Alice Sales Department Shanghai Jia Sai Technology CO., LTD.(Speed Technology)",可归并为同一模板骨架，正式入库时建议保留抽象模板，不保留项目级金额/日期/客户名。
