标题,内容,知识分类,切分,服务,语种,服务范围,客户层级,优先级,风险等级,生效日期,失效日期,单位,币种,价格,最高价格,最低收费,加急倍率,税费,标签
翻译报价确认邮件模板,您好，关于您此次的翻译需求，具体报价如下：稿件内容、语种、字数或页数、单价、翻译金额、交稿时间、交稿方式、付款时间。烦请回复邮件确认报价，以便启动翻译工作，谢谢。,邮件模板,0,翻译,,普通资料,,72,中,,,,,,,,,,"邮件模板,报价确认"
翻译报价单+申请PO邮件模板,您好，附件是本次翻译报价单。如报价无问题，烦请申请PO，并回复确认，我方收到后对应安排执行。,邮件模板,0,翻译,,普通资料,,74,中,,,,,,,,,,"邮件模板,PO,报价单"
同传老师优先Book与申请PO邮件模板,您好，请查收附件报价单。老师时间已预留或正在协调中，烦请优先回复邮件确认Book老师行程，并同步协助申请PO，谢谢。,邮件模板,0,同传,,普通资料,,78,中,,,,,,,,,,"邮件模板,同传,Book,PO"
发票付款申请邮件模板（中文）,您好，请查收附件发票，烦请协助安排付款。如有任何问题，请随时联系，谢谢。,邮件模板,0,通用,,普通资料,,68,中,,,,,,,,,,"邮件模板,发票,付款"
发票付款申请邮件模板（英文）,Please find the attached invoice for your reference and kindly assist with arranging the payment. Thanks.,邮件模板,0,通用,,普通资料,,68,中,,,,,,,,,,"邮件模板,invoice,payment"
报价未确认则交期顺延规则,若客户未在当日或约定时点前确认报价，交稿时间应顺延，不应默认锁定原交期。,报价限制条件,0,翻译,,普通资料,,84,高,,,,,,,,,,"报价限制,交期,确认"
收到确认后启动工作的行动引导模板,烦请回复确认，我们会在收到您的确认后马上安排开始工作。,邮件模板,0,通用,,普通资料,,64,低,,,,,,,,,,"邮件模板,行动引导"
申请PO需补采购审批的流程说明,如客户采购流程要求先走 one time class 或类似审批，应先取得采购确认邮件，再在系统选择对应服务下单，并附报价单等必要材料。,流程规则,0,通用,,普通资料,,78,中,,,,,,,,,,"流程,PO,采购"
收到PO后开始工作的口径说明,若客户内部流程要求先下PO，应明确说明收到PO后开始工作；未收到PO前，不默认启动正式执行。,报价限制条件,0,通用,,普通资料,,84,高,,,,,,,,,,"报价限制,PO,启动条件"
译稿确认后安排盖章件的交付模板,翻译电子稿确认无误后，可继续安排盖章扫描件或纸质盖章件，并同步说明寄送或后续交付方式。,邮件模板,0,翻译,,认证/盖章文件,,72,中,,,,,,,,,,"邮件模板,盖章,交付"
护照翻译盖章要求说明,护照等盖章类翻译件通常可提供翻译专用章、营业执照复印件盖章；如客户要求翻译人签字，通常可在翻译件上签字并一并提供说明。,FAQ常见问答,0,翻译,,认证/盖章文件,,76,中,,,,,,,,,,"FAQ,护照,盖章,营业执照"
报价邮件字段完整性规则,标准报价邮件建议至少包含稿件内容、语种、字数或页数、单价、金额、交稿时间、交稿方式、付款时间；涉及折扣、含税净价或违约责任时，应写明对应口径。,流程规则,0,翻译,,普通资料,,80,中,,,,,,,,,,"流程,报价邮件,字段完整性"
同传需求需先锁定老师档期,同传或口译项目在客户未最终确认前，也应尽早推动Book老师时间；若档期紧张，应明确提醒客户尽快确认以便锁定老师资源。,流程规则,0,同传,,普通资料,,80,高,,,,,,,,,,"流程,同传,老师档期"
付款前开票配合客户流程说明,如客户付款流程要求先开票，应先确认开票信息，再按约定开具发票以配合客户付款安排。,流程规则,0,通用,,普通资料,,74,中,,,,,,,,,,"流程,开票,付款"
报价更新邮件模板,您好，以下为更新后的报价或补充报价。若无问题，烦请回复确认；如涉及原报价作废，也请在邮件中明确说明以最新版本为准。,邮件模板,0,通用,,普通资料,,70,中,,,,,,,,,,"邮件模板,更新报价"
视频翻译或汉化报价确认邮件模板,您好，关于此次视频翻译或汉化需求，报价已附上。如无问题，烦请回复确认或同步申请PO，我方收到后安排制作。,邮件模板,0,多媒体译制,,普通资料,,72,中,,,,,,,,,,"邮件模板,多媒体,报价确认"
印刷或制作报价确认邮件模板,您好，附件是本次印刷或制作报价单。如无问题，烦请回复确认；如客户流程需要，请同步申请PO或安排打样确认。,邮件模板,0,印刷,,普通资料,,72,中,,,,,,,,,,"邮件模板,印刷,报价确认"
打样确认后启动生产规则,印刷或制作项目应在打样确认后再进入正式生产；若客户尚未确认样稿，不应默认锁定最终交期。,报价限制条件,0,印刷,,普通资料,,84,高,,,,,,,,,,"报价限制,印刷,打样,生产"
